Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Lower middle income,LMC,33.9101404064997,33.9432323610616,33.9191989025448,33.8912675293311,33.8603161361051,33.8898673732997,33.8704866104323,33.8734617726462,33.9151514767098,33.9246570955081,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Luxembourg,LUX,37.3,36.7,36,35.2,34.4,33.6,32.8,32,31.3,30.5,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Madagascar,MDG,40.3,40.1,39.8,39.4,39,38.6,38.2,37.8,37.3,36.9,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Malawi,MWI,36.5,35.9,35.2,34.5,33.7,32.9,32,31.2,30.3,29.5,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Malaysia,MYS,42,41.9,41.8,41.6,41.5,41.3,41.2,41,40.9,40.8,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Maldives,MDV,33.1,33.2,33.3,33.4,33.4,33.5,33.6,33.7,33.9,34.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Mali,MLI,35.6,35.6,35.4,35.3,35.2,35.1,34.9,34.8,34.7,34.6,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Malta,MLT,33,32.5,32.1,31.7,31.3,30.9,30.5,30.2,29.9,29.5,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Marshall Islands,MHL,30.3,30.6,30.8,31,31.2,31.3,31.5,31.6,31.7,31.9,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Mauritania,MRT,39.7,39.5,39.4,39.2,39,38.8,38.6,38.3,38.1,37.9,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Mauritius,MUS,37.2,36.9,36.5,36.1,35.6,35.1,34.6,34.1,33.6,33.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Mexico,MEX,35,34.9,34.6,34.3,33.9,33.6,33.2,32.8,32.4,32.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,"Micronesia, Fed. Sts.",FSM,31.2,31.5,31.7,31.9,32.1,32.2,32.4,32.6,32.7,32.9,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Middle East & North Africa,MEA,36.9093645677124,36.8115731538507,36.6596272039695,36.4791807071846,36.2782473835268,36.0324845386434,35.7901314958778,35.6183559453304,35.4093249765774,35.1782649684511,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Middle East & North Africa (excluding high income),MNA,36.9890134259752,36.8676323418729,36.687062248118,36.4775458904673,36.2413772731717,35.9537364644315,35.6713997533,35.4593809876321,35.2132773663681,34.9446893075044,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,36.9617491469874,36.8401306634126,36.6579702458522,36.4474624968787,36.2100571802308,35.9215688924626,35.6383462076314,35.4252131184736,35.1774404449609,34.9077796008524,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Middle income,MIC,33.9053842108368,33.8524252610546,33.7569780852919,33.6324658971076,33.4982353713839,33.3959664582942,33.2644075510008,33.1666865037893,33.0652315506695,32.9821848448108,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Moldova,MDA,50.3,50.2,50,49.8,49.5,49.3,49,48.8,48.5,48.3,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Mongolia,MNG,45.5,45.4,45.2,45,44.7,44.4,44,43.6,43.2,42.8,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Montenegro,MNE,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,45.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Morocco,MAR,37.1,37,36.8,36.7,36.5,36.2,36,35.8,35.5,35.3,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Mozambique,MOZ,40.7,40.6,40.5,40.3,40.1,39.8,39.5,39.2,38.9,38.6,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Myanmar,MMR,36.1,36.3,36.5,36.6,36.8,37,37.2,37.4,37.6,37.8,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Namibia,NAM,45.5,45.5,45.3,45.2,45,44.7,44.5,44.3,44,43.8,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Nauru,NRU,37.9,38.4,38.8,39.3,39.7,40.1,40.5,40.9,41.4,41.8,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Nepal,NPL,36.5,36.5,36.4,36.3,36.2,36.1,36.1,36.1,36.1,36.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Netherlands,NLD,35.7,35.3,34.8,34.3,33.6,33,32.4,31.7,31.1,30.5,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,New Zealand,NZL,32.4,32.3,32.1,31.9,31.7,31.5,31.4,31.2,31,30.9,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Nicaragua,NIC,36.2,36.3,36.3,36.2,36.1,36.1,36,35.9,35.9,35.8,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Niger,NER,43.8,43.6,43.4,43.1,42.9,42.6,42.3,42.1,41.8,41.5,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Nigeria,NGA,36.4,36.3,36.3,36.2,36.2,36.1,36.1,36.1,36.1,36.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,North America,NAC,31.1321883966986,31.0092632144522,30.9747806674206,30.8505352327381,30.8164251013034,30.6954140173006,30.6712120843996,30.6352427568966,30.6071361172894,30.5667239504718,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,North Macedonia,MKD,45.2,45.2,45.2,45.2,45.2,45.2,45.2,45.2,45.1,45.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Norway,NOR,34.8,34.4,33.9,33.4,32.9,32.4,31.9,31.5,31,30.5,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,OECD members,OED,33.6057916562192,33.3495319642712,33.1188025701492,32.8400708338862,32.5874088967807,32.336746763364,32.113715674552,31.893687765846,31.6777922430413,31.4664450350283,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Oman,OMN,46.9,46.9,46.8,46.7,46.6,46.5,46.3,46.1,45.9,45.6,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Other small states,OSS,40.2444823709101,40.1480227810825,39.9991457898391,39.8483877493234,39.6524851408014,39.464945258568,39.288341951595,39.1175055514877,38.9301506445553,38.7754058227409,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Pacific island small states,PSS,33.2447908227705,33.6560218208705,34.0228067104729,34.4296977733246,34.8251376494488,35.1354911120408,35.5435000990214,35.9023851764903,36.3170544209252,36.6953685714347,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Pakistan,PAK,41.4,41.6,41.8,42,42.2,42.4,42.6,42.8,43,43.2,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Palau,PLW,43.8,44.1,44.3,44.4,44.4,44.4,44.3,44.3,44.3,44.2,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Panama,PAN,36.3,36.3,36.3,36.3,36.3,36.2,36.2,36.1,36.1,36.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Papua New Guinea,PNG,23.6,24,24.5,24.9,25.3,25.8,26.3,26.8,27.3,27.8,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Paraguay,PRY,56.4,56.6,56.6,56.6,56.6,56.6,56.5,56.5,56.4,56.4,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Peru,PER,19.8,19.8,19.8,19.8,19.9,19.9,20.1,20.3,20.5,20.7,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Philippines,PHL,33.2,33.3,33.3,33.3,33.3,33.4,33.5,33.6,33.7,33.8,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Poland,POL,46.9,47.1,47.3,47.5,47.8,48.1,48.4,48.7,48.9,49.2,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Portugal,PRT,35.7,35.3,34.9,34.5,34.1,33.7,33.3,33,32.6,32.3,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Post-demographic dividend,PST,33.8613418954948,33.5572063015971,33.2988310832209,32.9925060711317,32.7109367781552,32.4330053662179,32.1874093291327,31.9464775942577,31.7095690104563,31.4666526305181,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Pre-demographic dividend,PRE,37.9706395586989,37.8697972546667,37.7516967662478,37.5898906880001,37.4414426362443,37.2576056712965,37.0737305619562,36.9048210970064,36.7207649636446,36.5515482577553,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Puerto Rico,PRI,41.8,42,42.1,42.2,42.3,42.3,42.4,42.5,42.5,42.6,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Qatar,QAT,43.1,42.9,42.6,42.4,42.1,41.8,41.6,41.4,41.1,40.9,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Romania,ROU,47.4,47.5,47.6,47.7,47.8,47.9,48,48.1,48.3,48.4,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Russian Federation,RUS,48.6,48.2,47.7,47.3,46.8,46.3,45.8,45.3,44.8,44.3,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Rwanda,RWA,32.6,32.4,32.1,31.8,31.5,31.1,30.8,30.5,30.2,29.8,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Samoa,WSM,35,35.4,35.8,36.2,36.6,36.9,37.3,37.6,38,38.3,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Sao Tome and Principe,STP,46.9,46.8,46.6,46.4,46.2,46,45.8,45.5,45.3,45.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Saudi Arabia,SAU,34.7,34.7,34.6,34.5,34.4,34.3,34.2,34.2,34.1,34,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Senegal,SEN,41.5,41.5,41.4,41.3,41.1,41,40.9,40.7,40.6,40.5,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Serbia,SRB,46.2,46.2,46.2,46.2,46.1,46.1,46.1,46.1,46.1,46.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Seychelles,SYC,47.9,47.7,47.3,47,46.6,46.1,45.7,45.2,44.8,44.3,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Sierra Leone,SLE,42.8,42.7,42.5,42.3,42,41.8,41.6,41.3,41.1,40.8,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Singapore,SGP,34.4,34.1,33.7,33.4,33,32.7,32.4,32.1,31.8,31.5,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Slovak Republic,SVK,42.9,42.9,42.9,42.8,42.8,42.8,42.8,42.8,42.7,42.7,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Slovenia,SVN,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.4,45.3,45.3,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Small states,SST,40.2737735270286,40.2796118494128,40.2335318457582,40.1758777921913,40.0843187262124,39.9838741593656,39.9020181782764,39.8216455455417,39.7218736097556,39.6486327172612,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Solomon Islands,SLB,25.4,25.9,26.3,26.8,27.3,27.7,28.2,28.7,29.2,29.8,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Somalia,SOM,38.5,38.3,38.1,37.9,37.6,37.3,37,36.7,36.4,36.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,South Africa,ZAF,45.4,45.5,45.4,45.3,45.2,45,44.8,44.6,44.4,44.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,South Asia,SAS,32.4289412779691,32.4470187026827,32.39474473719,32.3448438243951,32.3034535379332,32.3412466886539,32.3150980268537,32.288187048599,32.3418614448354,32.3204295849686,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,South Asia (IDA & IBRD),TSA,32.4289412779691,32.4470187026827,32.39474473719,32.3448438243951,32.3034535379332,32.3412466886539,32.3150980268537,32.288187048599,32.3418614448354,32.3204295849686,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,South Sudan,SSD,37,36.8,36.6,36.3,36,35.6,35.3,34.9,34.6,34.2,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Spain,ESP,32.8,32.1,31.4,30.7,30.1,29.4,28.8,28.2,27.7,27.2,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Sri Lanka,LKA,33.4,33.6,33.8,34.1,34.3,34.5,34.8,35,35.3,35.6,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,St. Kitts and Nevis,KNA,44.7,44.9,45,45,45,45,45,45.1,45.1,45.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,St. Lucia,LCA,39.2,39.3,39.4,39.4,39.5,39.5,39.6,39.7,39.8,39.8,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,St. Vincent and the Grenadines,VCT,39,39.1,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.3,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Sub-Saharan Africa,SSF,37.3797155841102,37.265902956025,37.1199414512942,36.9201475166674,36.7229850959419,36.498886389522,36.2799097813226,36.0711003089647,35.8423184927823,35.6283849374167,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Sub-Saharan Africa (excluding high income),SSA,37.3777776674254,37.2640706373112,37.1181753809302,36.9184066019194,36.7212944011656,36.4972482257199,36.2783214649866,36.0695830414008,35.8408559295572,35.6269954603687,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,37.3797155841102,37.265902956025,37.1199414512942,36.9201475166674,36.7229850959419,36.498886389522,36.2799097813226,36.0711003089648,35.8423184927823,35.6283849374167,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Sudan,SDN,42.2,42.2,42.1,42,41.8,41.6,41.4,41.2,41,40.8,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Suriname,SUR,42.1,42.3,42.4,42.5,42.6,42.6,42.7,42.8,42.8,42.9,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Sweden,SWE,36,35.4,34.8,34.1,33.4,32.8,32.1,31.4,30.8,30.2,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Switzerland,CHE,26.9,26.3,25.7,25.1,24.5,24,23.4,22.9,22.4,21.9,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Syrian Arab Republic,SYR,43.1,43,42.8,42.6,42.4,42.1,41.8,41.6,41.4,41.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Tajikistan,TJK,45.5,45.7,46,46.2,46.4,46.5,46.6,46.7,46.8,46.8,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Tanzania,TZA,37.7,37.4,37,36.5,36,35.5,34.9,34.4,33.8,33.2,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Thailand,THA,27.5,27.6,27.8,27.9,28.1,28.3,28.5,28.7,29,29.2,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Timor-Leste,TLS,33.8,34,34.1,34.2,34.3,34.5,34.6,34.8,35.1,35.3,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Togo,TGO,37.5,37.3,37.2,37,36.8,36.6,36.5,36.3,36.1,36,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Tonga,TON,37,37.7,38.3,39,39.7,40.4,41.1,41.9,42.6,43.3,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Trinidad and Tobago,TTO,40.7,41,41.2,41.4,41.6,41.7,41.9,42.1,42.2,42.4,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Tunisia,TUN,34.6,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Turkiye,TUR,35,34.7,34.5,34.2,34,33.7,33.5,33.2,33,32.8,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Turkmenistan,TKM,38.6,38.7,38.8,38.9,38.9,39,39,39,39,39,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Tuvalu,TUV,44.9,45.6,46.2,46.9,47.5,48.1,48.7,49.3,49.9,50.4,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Uganda,UGA,35,34.8,34.6,34.3,34,33.7,33.4,33.1,32.8,32.5,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Ukraine,UKR,48.1,47.6,47.1,46.6,46,45.5,44.9,44.3,43.7,43.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,United Arab Emirates,ARE,39.2,39.4,39.7,39.9,40.1,40.3,40.5,40.8,41.1,41.4,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,United Kingdom,GBR,29.4,29,28.7,28.3,27.9,27.6,27.3,27,26.7,26.4,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,United States,USA,31.9,31.8,31.8,31.7,31.7,31.6,31.6,31.6,31.6,31.6,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Upper middle income,UMC,33.9009862512879,33.7674722451954,33.6035276055552,33.3849814950103,33.1485709526544,32.9149385974732,32.6698088590052,32.4695986134827,32.2224146942666,32.0413133576619,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Uruguay,URY,42.1,42.2,42.3,42.3,42.3,42.3,42.3,42.4,42.4,42.4,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Uzbekistan,UZB,39.3,40.1,40.8,41.5,42.3,43,43.6,44.3,45,45.7,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Vanuatu,VUT,37.4,37.7,37.9,38.2,38.4,38.6,38.8,39,39.3,39.5,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,"Venezuela, RB",VEN,39.7,39.7,39.7,39.7,39.7,39.6,39.5,39.5,39.5,39.4,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Vietnam,VNM,28.6,28.7,28.8,28.9,29,29.1,29.2,29.4,29.5,29.7,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,West Bank and Gaza,PSE,40.2,40.1,40.1,40,39.9,39.7,39.5,39.4,39.3,39.1,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,World,WLD,33.9982825317554,33.9038512504079,33.7836686995194,33.6310982145172,33.4776842576324,33.3470306719045,33.2025462881979,33.0865445598599,32.9658466521987,32.8605576597778,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,"Yemen, Rep.",YEM,28.9,29,29,29.1,29.1,29.1,29.2,29.2,29.3,29.3,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Zambia,ZMB,37,36.6,36.2,35.7,35.1,34.6,34,33.4,32.9,32.3,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Zimbabwe,ZWE,43.4,43.4,43.3,43.2,43.1,42.9,42.8,42.6,42.4,42.3,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: Health Nutrition and Population Statistics,,,,,,,,,,,,,,,
Last Updated: 09/19/2022,,,,,,,,,,,,,,,
